学号,开始日期,结束日期,学院,专业,班级,见证人
202300063,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300064,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300065,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300066,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300067,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300068,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2302班,李文静
202300069,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300070,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300071,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300072,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300073,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300074,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300075,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300076,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300077,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300078,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300079,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300080,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300081,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300082,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300083,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300084,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300085,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300086,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300087,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300088,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300089,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300090,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300091,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300092,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300093,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300094,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300095,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300096,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300097,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300098,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300099,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300100,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300101,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300102,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2303班,李文静
202300103,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300104,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300105,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300106,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300107,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300108,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300109,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300110,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300111,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300112,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300113,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300114,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300115,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300116,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300117,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300118,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300119,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300120,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300121,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300122,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300123,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300124,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300125,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300126,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300127,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300128,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300129,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300130,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300131,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300132,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300133,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300134,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300135,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300136,2023-09-01,2027-07-01,汽车工程学院,车辆工程,车辆2304班,李文静
202300137,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300138,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300139,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300140,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300141,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300142,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300143,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300144,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300145,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300146,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300147,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300148,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300149,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300150,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300151,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300152,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300153,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300154,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300155,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300156,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300157,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300158,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300159,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300160,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300161,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300162,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300163,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300164,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300165,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300166,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300167,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300168,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300169,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300170,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2301班,王海燕
202300171,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300172,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300173,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300174,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300175,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300176,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300177,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300178,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300179,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300180,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300181,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300182,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300183,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300184,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300185,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300186,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300187,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300188,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300189,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300190,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300191,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300192,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300193,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300194,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300195,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300196,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300197,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300198,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300199,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300200,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300201,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300202,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300203,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300204,2023-09-01,2027-07-01,汽车工程学院,能源与动力工程,能动2302班,王海燕
202300205,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300206,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300207,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300208,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300209,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300210,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300211,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300212,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300213,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300214,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300215,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300216,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300217,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300218,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300219,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300220,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300221,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300222,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300223,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300224,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300225,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300226,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300227,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300228,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300229,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300230,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300231,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300232,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300233,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300234,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300235,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300236,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300237,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2301班,刘志强
202300238,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300239,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300240,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300241,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300242,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300243,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300244,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300245,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300246,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300247,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300248,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300249,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300250,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300251,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300252,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300253,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300254,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300255,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300256,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300257,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300258,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300259,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300260,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300261,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300262,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300263,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300264,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300265,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300266,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300267,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300268,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300269,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300270,2023-09-01,2027-07-01,汽车工程学院,机械设计制造及其自动化,机电2302班,刘志强
202300271,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300272,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300273,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300274,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300275,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300276,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300277,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300278,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300279,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300280,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300281,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300282,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300283,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300284,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300285,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300286,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300287,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300288,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300289,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300290,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300291,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300292,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300293,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300294,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300295,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300296,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300297,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300298,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300299,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202300300,2023-09-01,2027-07-01,汽车工程学院,交通运输,交通2301班,赵鹏
202400301,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400302,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400303,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400304,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400305,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400306,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400307,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400308,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400309,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400310,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400311,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
202400312,2024-09-01,2028-07-01,汽车工程学院,车辆工程,车辆2401班,张伟
