学号,学期,学院,专业,互评成绩,综测成绩,GPA,GPA排名,综测排名,专业人数
202300007,2024-2025-2,汽车工程学院,车辆工程,86.1,76.2,3.16,81,81,136
202300007,2025-2026-1,汽车工程学院,车辆工程,93.3,94.5,3.45,65,65,136
202300007,2025-2026-2,汽车工程学院,车辆工程,72.4,94.5,3.3,21,21,136
202300008,2023-2024-1,汽车工程学院,车辆工程,84.9,81.6,3.5,132,132,136
202300008,2023-2024-2,汽车工程学院,车辆工程,72.9,81.1,2.91,76,76,136
202300008,2024-2025-1,汽车工程学院,车辆工程,76.3,91.8,3.39,88,88,136
202300008,2024-2025-2,汽车工程学院,车辆工程,74.1,94.5,3.45,63,63,136
202300008,2025-2026-1,汽车工程学院,车辆工程,85.2,82.4,3.77,72,72,136
202300008,2025-2026-2,汽车工程学院,车辆工程,76.7,78.9,3.99,50,50,136
202300009,2023-2024-1,汽车工程学院,车辆工程,83.1,83.4,2.8,118,118,136
202300009,2023-2024-2,汽车工程学院,车辆工程,72.4,88.8,2.88,99,99,136
202300009,2024-2025-1,汽车工程学院,车辆工程,77.1,71.3,3.03,109,109,136
202300009,2024-2025-2,汽车工程学院,车辆工程,78.8,76.1,2.77,75,75,136
202300009,2025-2026-1,汽车工程学院,车辆工程,94.3,77.5,2.95,116,116,136
202300009,2025-2026-2,汽车工程学院,车辆工程,82.8,74.0,3.74,43,43,136
202300010,2023-2024-1,汽车工程学院,车辆工程,91.8,86.0,2.9,98,98,136
202300010,2023-2024-2,汽车工程学院,车辆工程,85.2,80.6,3.63,84,84,136
202300010,2024-2025-1,汽车工程学院,车辆工程,77.3,92.3,2.76,101,101,136
202300010,2024-2025-2,汽车工程学院,车辆工程,71.1,89.9,2.76,117,117,136
202300010,2025-2026-1,汽车工程学院,车辆工程,80.7,76.2,3.08,3,3,136
202300010,2025-2026-2,汽车工程学院,车辆工程,94.6,83.0,3.44,84,84,136
202300011,2023-2024-1,汽车工程学院,车辆工程,81.9,82.6,3.98,83,83,136
202300011,2023-2024-2,汽车工程学院,车辆工程,78.9,74.7,3.0,66,66,136
202300011,2024-2025-1,汽车工程学院,车辆工程,75.0,94.8,3.43,57,57,136
202300011,2024-2025-2,汽车工程学院,车辆工程,85.3,75.5,3.61,104,104,136
202300011,2025-2026-1,汽车工程学院,车辆工程,92.9,79.2,3.3,117,117,136
202300011,2025-2026-2,汽车工程学院,车辆工程,84.7,69.6,3.32,71,71,136
202300012,2023-2024-1,汽车工程学院,车辆工程,76.3,83.7,3.39,107,107,136
202300012,2023-2024-2,汽车工程学院,车辆工程,81.0,92.8,2.76,58,58,136
202300012,2024-2025-1,汽车工程学院,车辆工程,74.5,71.6,2.81,33,33,136
202300012,2024-2025-2,汽车工程学院,车辆工程,72.1,90.8,3.73,127,127,136
202300012,2025-2026-1,汽车工程学院,车辆工程,80.9,74.3,2.84,111,111,136
202300012,2025-2026-2,汽车工程学院,车辆工程,94.2,80.5,3.96,128,128,136
202300013,2023-2024-1,汽车工程学院,车辆工程,90.8,94.6,3.08,43,43,136
202300013,2023-2024-2,汽车工程学院,车辆工程,79.3,81.3,2.81,45,45,136
202300013,2024-2025-1,汽车工程学院,车辆工程,79.9,92.1,3.62,10,10,136
202300013,2024-2025-2,汽车工程学院,车辆工程,80.1,81.7,3.33,32,32,136
202300013,2025-2026-1,汽车工程学院,车辆工程,89.8,68.1,3.32,126,126,136
202300013,2025-2026-2,汽车工程学院,车辆工程,87.4,92.1,2.98,63,63,136
202300014,2023-2024-1,汽车工程学院,车辆工程,87.6,95.9,3.86,135,135,136
202300014,2023-2024-2,汽车工程学院,车辆工程,80.1,84.8,2.93,35,35,136
202300014,2024-2025-1,汽车工程学院,车辆工程,86.6,90.8,3.44,127,127,136
202300014,2024-2025-2,汽车工程学院,车辆工程,86.2,71.0,2.99,120,120,136
202300014,2025-2026-1,汽车工程学院,车辆工程,73.3,78.5,3.59,109,109,136
202300014,2025-2026-2,汽车工程学院,车辆工程,91.2,80.3,3.4,106,106,136
202300015,2023-2024-1,汽车工程学院,车辆工程,79.6,86.1,3.09,34,34,136
202300015,2023-2024-2,汽车工程学院,车辆工程,81.7,77.3,3.52,86,86,136
202300015,2024-2025-1,汽车工程学院,车辆工程,94.6,72.3,3.6,28,28,136
202300015,2024-2025-2,汽车工程学院,车辆工程,88.5,85.4,3.36,130,130,136
202300015,2025-2026-1,汽车工程学院,车辆工程,83.4,79.4,3.39,84,84,136
202300015,2025-2026-2,汽车工程学院,车辆工程,91.5,85.8,2.84,50,50,136
202300016,2023-2024-1,汽车工程学院,车辆工程,71.6,80.4,2.82,113,113,136
202300016,2023-2024-2,汽车工程学院,车辆工程,81.5,75.1,2.82,61,61,136
202300016,2024-2025-1,汽车工程学院,车辆工程,94.5,87.9,3.86,113,113,136
202300016,2024-2025-2,汽车工程学院,车辆工程,88.8,71.6,3.21,113,113,136
202300016,2025-2026-1,汽车工程学院,车辆工程,73.3,95.2,3.9,9,9,136
202300016,2025-2026-2,汽车工程学院,车辆工程,78.2,85.5,2.74,110,110,136
202300017,2023-2024-1,汽车工程学院,车辆工程,79.0,92.8,3.33,115,115,136
202300017,2023-2024-2,汽车工程学院,车辆工程,79.5,69.0,3.92,126,126,136
202300017,2024-2025-1,汽车工程学院,车辆工程,78.8,70.6,3.68,110,110,136
202300017,2024-2025-2,汽车工程学院,车辆工程,85.8,79.4,3.33,106,106,136
202300017,2025-2026-1,汽车工程学院,车辆工程,87.3,69.3,3.4,124,124,136
202300017,2025-2026-2,汽车工程学院,车辆工程,79.2,71.3,3.38,12,12,136
202300018,2023-2024-1,汽车工程学院,车辆工程,89.8,68.2,3.47,90,90,136
202300018,2023-2024-2,汽车工程学院,车辆工程,80.3,74.6,3.35,109,109,136
202300018,2024-2025-1,汽车工程学院,车辆工程,92.1,73.5,3.31,97,97,136
202300018,2024-2025-2,汽车工程学院,车辆工程,94.1,81.4,3.78,41,41,136
202300018,2025-2026-1,汽车工程学院,车辆工程,77.1,94.7,2.95,66,66,136
202300018,2025-2026-2,汽车工程学院,车辆工程,73.6,87.3,3.09,43,43,136
202300019,2023-2024-1,汽车工程学院,车辆工程,87.7,78.2,3.89,122,122,136
202300019,2023-2024-2,汽车工程学院,车辆工程,83.4,83.6,3.33,38,38,136
202300019,2024-2025-1,汽车工程学院,车辆工程,87.4,79.6,3.27,70,70,136
202300019,2024-2025-2,汽车工程学院,车辆工程,88.9,93.8,2.88,122,122,136
202300019,2025-2026-1,汽车工程学院,车辆工程,80.4,90.7,3.69,77,77,136
202300019,2025-2026-2,汽车工程学院,车辆工程,84.0,89.2,4.0,72,72,136
202300020,2023-2024-1,汽车工程学院,车辆工程,71.5,93.8,3.86,111,111,136
202300020,2023-2024-2,汽车工程学院,车辆工程,87.5,88.2,2.91,70,70,136
202300020,2024-2025-1,汽车工程学院,车辆工程,71.6,95.5,3.24,37,37,136
202300020,2024-2025-2,汽车工程学院,车辆工程,82.8,84.3,2.79,97,97,136
202300020,2025-2026-1,汽车工程学院,车辆工程,75.8,78.9,3.64,4,4,136
202300020,2025-2026-2,汽车工程学院,车辆工程,77.3,88.2,3.53,110,110,136
202300021,2023-2024-1,汽车工程学院,车辆工程,85.2,85.1,2.76,90,90,136
202300021,2023-2024-2,汽车工程学院,车辆工程,85.1,81.8,3.11,54,54,136
202300021,2024-2025-1,汽车工程学院,车辆工程,78.0,82.7,3.25,32,32,136
202300021,2024-2025-2,汽车工程学院,车辆工程,74.5,94.2,3.09,82,82,136
202300021,2025-2026-1,汽车工程学院,车辆工程,94.3,82.4,3.82,1,1,136
202300021,2025-2026-2,汽车工程学院,车辆工程,88.4,73.8,3.32,117,117,136
202300022,2023-2024-1,汽车工程学院,车辆工程,83.3,76.8,3.01,94,94,136
202300022,2023-2024-2,汽车工程学院,车辆工程,76.0,78.7,2.91,93,93,136
202300022,2024-2025-1,汽车工程学院,车辆工程,78.9,89.6,3.93,115,115,136
202300022,2024-2025-2,汽车工程学院,车辆工程,79.2,95.8,3.34,11,11,136
202300022,2025-2026-1,汽车工程学院,车辆工程,81.8,73.8,2.83,115,115,136
202300022,2025-2026-2,汽车工程学院,车辆工程,94.1,73.3,2.88,30,30,136
202300023,2023-2024-1,汽车工程学院,车辆工程,88.5,75.5,3.82,100,100,136
202300023,2023-2024-2,汽车工程学院,车辆工程,81.4,80.8,3.58,79,79,136
202300023,2024-2025-1,汽车工程学院,车辆工程,73.8,81.9,2.85,21,21,136
202300023,2024-2025-2,汽车工程学院,车辆工程,86.1,73.1,3.7,63,63,136
202300023,2025-2026-1,汽车工程学院,车辆工程,77.8,82.3,2.85,104,104,136
202300023,2025-2026-2,汽车工程学院,车辆工程,82.0,95.5,2.99,108,108,136
202300024,2023-2024-1,汽车工程学院,车辆工程,71.6,89.3,3.58,69,69,136
202300024,2023-2024-2,汽车工程学院,车辆工程,72.9,92.4,3.19,105,105,136
202300024,2024-2025-1,汽车工程学院,车辆工程,90.5,80.3,3.41,67,67,136
202300024,2024-2025-2,汽车工程学院,车辆工程,71.2,76.3,3.79,66,66,136
202300024,2025-2026-1,汽车工程学院,车辆工程,75.9,87.6,3.9,132,132,136
202300024,2025-2026-2,汽车工程学院,车辆工程,90.4,68.4,3.37,13,13,136
202300025,2023-2024-1,汽车工程学院,车辆工程,75.6,76.0,3.23,89,89,136
202300025,2023-2024-2,汽车工程学院,车辆工程,82.6,85.6,3.14,83,83,136
202300025,2024-2025-1,汽车工程学院,车辆工程,84.2,93.2,3.11,9,9,136
202300025,2024-2025-2,汽车工程学院,车辆工程,89.3,74.4,3.5,116,116,136
202300025,2025-2026-1,汽车工程学院,车辆工程,80.9,85.1,3.82,29,29,136
202300025,2025-2026-2,汽车工程学院,车辆工程,87.5,93.2,3.36,103,103,136
202300026,2023-2024-1,汽车工程学院,车辆工程,72.1,79.2,3.44,86,86,136
202300026,2023-2024-2,汽车工程学院,车辆工程,79.7,76.4,3.03,51,51,136
202300026,2024-2025-1,汽车工程学院,车辆工程,71.5,74.3,3.11,78,78,136
202300026,2024-2025-2,汽车工程学院,车辆工程,78.4,78.7,3.56,123,123,136
202300026,2025-2026-1,汽车工程学院,车辆工程,74.4,92.6,3.25,118,118,136
202300026,2025-2026-2,汽车工程学院,车辆工程,89.9,83.9,3.87,119,119,136
202300027,2023-2024-1,汽车工程学院,车辆工程,83.5,91.9,3.7,66,66,136
202300027,2023-2024-2,汽车工程学院,车辆工程,89.6,84.6,3.96,34,34,136
202300027,2024-2025-1,汽车工程学院,车辆工程,91.0,76.2,3.17,56,56,136
202300027,2024-2025-2,汽车工程学院,车辆工程,94.6,80.2,3.73,2,2,136
202300027,2025-2026-1,汽车工程学院,车辆工程,71.6,77.1,3.33,135,135,136
202300027,2025-2026-2,汽车工程学院,车辆工程,91.5,87.7,3.32,134,134,136
202300028,2023-2024-1,汽车工程学院,车辆工程,86.4,80.3,3.21,6,6,136
202300028,2023-2024-2,汽车工程学院,车辆工程,83.5,75.4,2.95,102,102,136
202300028,2024-2025-1,汽车工程学院,车辆工程,86.6,70.5,3.21,6,6,136
202300028,2024-2025-2,汽车工程学院,车辆工程,76.0,69.8,3.81,132,132,136
202300028,2025-2026-1,汽车工程学院,车辆工程,91.6,77.7,2.97,108,108,136
202300028,2025-2026-2,汽车工程学院,车辆工程,83.1,87.2,3.6,2,2,136
202300029,2023-2024-1,汽车工程学院,车辆工程,88.2,71.5,3.07,110,110,136
202300029,2023-2024-2,汽车工程学院,车辆工程,78.2,70.2,2.71,68,68,136
202300029,2024-2025-1,汽车工程学院,车辆工程,85.2,84.4,2.72,38,38,136
202300029,2024-2025-2,汽车工程学院,车辆工程,93.6,91.1,3.72,77,77,136
202300029,2025-2026-1,汽车工程学院,车辆工程,78.9,93.5,3.26,135,135,136
202300029,2025-2026-2,汽车工程学院,车辆工程,92.2,76.6,3.88,24,24,136
202300030,2023-2024-1,汽车工程学院,车辆工程,94.4,90.6,2.89,77,77,136
202300030,2023-2024-2,汽车工程学院,车辆工程,78.4,69.4,3.98,29,29,136
202300030,2024-2025-1,汽车工程学院,车辆工程,94.3,88.1,3.74,104,104,136
202300030,2024-2025-2,汽车工程学院,车辆工程,87.5,79.2,3.71,11,11,136
202300030,2025-2026-1,汽车工程学院,车辆工程,72.5,85.0,3.98,66,66,136
202300030,2025-2026-2,汽车工程学院,车辆工程,73.4,93.1,2.94,48,48,136
202300031,2023-2024-1,汽车工程学院,车辆工程,79.8,90.2,3.51,124,124,136
202300031,2023-2024-2,汽车工程学院,车辆工程,83.7,93.0,2.96,116,116,136
202300031,2024-2025-1,汽车工程学院,车辆工程,75.1,72.4,3.11,89,89,136
202300031,2024-2025-2,汽车工程学院,车辆工程,72.4,84.9,2.75,9,9,136
202300031,2025-2026-1,汽车工程学院,车辆工程,92.3,90.3,3.48,136,136,136
202300031,2025-2026-2,汽车工程学院,车辆工程,79.4,89.7,3.78,29,29,136
202300032,2023-2024-1,汽车工程学院,车辆工程,73.8,78.8,3.69,24,24,136
202300032,2023-2024-2,汽车工程学院,车辆工程,73.1,71.8,3.19,131,131,136
202300032,2024-2025-1,汽车工程学院,车辆工程,84.5,73.7,3.48,79,79,136
202300032,2024-2025-2,汽车工程学院,车辆工程,72.9,75.4,3.31,75,75,136
202300032,2025-2026-1,汽车工程学院,车辆工程,70.8,81.9,3.4,20,20,136
202300032,2025-2026-2,汽车工程学院,车辆工程,81.7,91.9,3.78,92,92,136
202300033,2023-2024-1,汽车工程学院,车辆工程,89.1,77.7,2.84,30,30,136
202300033,2023-2024-2,汽车工程学院,车辆工程,85.6,78.0,2.74,112,112,136
202300033,2024-2025-1,汽车工程学院,车辆工程,89.7,88.6,3.67,132,132,136
202300033,2024-2025-2,汽车工程学院,车辆工程,90.1,89.2,2.99,44,44,136
202300033,2025-2026-1,汽车工程学院,车辆工程,92.8,69.4,3.81,133,133,136
202300033,2025-2026-2,汽车工程学院,车辆工程,86.2,69.9,3.9,127,127,136
202300034,2023-2024-1,汽车工程学院,车辆工程,91.1,87.3,3.48,45,45,136
202300034,2023-2024-2,汽车工程学院,车辆工程,75.3,93.2,3.73,77,77,136
202300034,2024-2025-1,汽车工程学院,车辆工程,71.3,91.2,3.74,21,21,136
202300034,2024-2025-2,汽车工程学院,车辆工程,93.0,88.8,3.72,108,108,136
202300034,2025-2026-1,汽车工程学院,车辆工程,83.3,81.7,3.08,92,92,136
202300034,2025-2026-2,汽车工程学院,车辆工程,91.2,96.0,3.33,2,2,136
202300035,2023-2024-1,汽车工程学院,车辆工程,75.2,81.4,2.98,11,11,136
202300035,2023-2024-2,汽车工程学院,车辆工程,73.2,78.9,2.7,66,66,136
202300035,2024-2025-1,汽车工程学院,车辆工程,72.7,86.4,3.66,56,56,136
202300035,2024-2025-2,汽车工程学院,车辆工程,92.1,93.8,3.69,51,51,136
202300035,2025-2026-1,汽车工程学院,车辆工程,74.6,71.9,3.88,82,82,136
202300035,2025-2026-2,汽车工程学院,车辆工程,84.8,76.5,3.91,101,101,136
202300036,2023-2024-1,汽车工程学院,车辆工程,90.9,91.2,3.26,118,118,136
202300036,2023-2024-2,汽车工程学院,车辆工程,92.8,93.6,3.08,39,39,136
202300036,2024-2025-1,汽车工程学院,车辆工程,74.9,84.6,3.08,46,46,136
202300036,2024-2025-2,汽车工程学院,车辆工程,93.9,86.8,3.75,106,106,136
202300036,2025-2026-1,汽车工程学院,车辆工程,89.0,83.1,2.97,117,117,136
202300036,2025-2026-2,汽车工程学院,车辆工程,70.2,81.8,3.82,122,122,136
202300037,2023-2024-1,汽车工程学院,车辆工程,73.2,68.9,3.44,39,39,136
202300037,2023-2024-2,汽车工程学院,车辆工程,86.4,85.7,2.91,108,108,136
202300037,2024-2025-1,汽车工程学院,车辆工程,73.5,72.9,2.96,100,100,136
202300037,2024-2025-2,汽车工程学院,车辆工程,89.8,76.5,2.85,84,84,136
202300037,2025-2026-1,汽车工程学院,车辆工程,74.8,80.1,3.14,1,1,136
202300037,2025-2026-2,汽车工程学院,车辆工程,71.2,70.8,3.94,97,97,136
202300038,2023-2024-1,汽车工程学院,车辆工程,88.9,89.8,3.47,100,100,136
202300038,2023-2024-2,汽车工程学院,车辆工程,70.6,69.3,3.17,47,47,136
202300038,2024-2025-1,汽车工程学院,车辆工程,78.4,86.9,3.12,70,70,136
202300038,2024-2025-2,汽车工程学院,车辆工程,81.0,73.9,3.6,124,124,136
202300038,2025-2026-1,汽车工程学院,车辆工程,73.8,83.2,2.88,124,124,136
202300038,2025-2026-2,汽车工程学院,车辆工程,90.5,88.5,3.75,118,118,136
202300039,2023-2024-1,汽车工程学院,车辆工程,79.9,83.1,2.71,128,128,136
202300039,2023-2024-2,汽车工程学院,车辆工程,74.1,85.9,3.89,114,114,136
202300039,2024-2025-1,汽车工程学院,车辆工程,83.4,84.3,2.9,24,24,136
202300039,2024-2025-2,汽车工程学院,车辆工程,71.8,77.3,3.76,50,50,136
202300039,2025-2026-1,汽车工程学院,车辆工程,78.3,85.9,3.13,34,34,136
202300039,2025-2026-2,汽车工程学院,车辆工程,79.9,81.7,3.07,22,22,136
202300040,2023-2024-1,汽车工程学院,车辆工程,80.6,76.9,3.05,20,20,136
202300040,2023-2024-2,汽车工程学院,车辆工程,91.9,91.5,3.34,61,61,136
202300040,2024-2025-1,汽车工程学院,车辆工程,75.8,90.7,3.55,114,114,136
202300040,2024-2025-2,汽车工程学院,车辆工程,71.9,84.1,3.74,51,51,136
202300040,2025-2026-1,汽车工程学院,车辆工程,77.1,70.7,2.74,16,16,136
202300040,2025-2026-2,汽车工程学院,车辆工程,75.9,87.3,3.96,27,27,136
202300041,2023-2024-1,汽车工程学院,车辆工程,86.6,78.0,3.96,109,109,136
202300041,2023-2024-2,汽车工程学院,车辆工程,80.7,81.0,3.45,54,54,136
202300041,2024-2025-1,汽车工程学院,车辆工程,73.8,81.4,3.84,41,41,136
202300041,2024-2025-2,汽车工程学院,车辆工程,70.5,93.1,3.28,122,122,136
202300041,2025-2026-1,汽车工程学院,车辆工程,75.4,79.1,2.97,44,44,136
202300041,2025-2026-2,汽车工程学院,车辆工程,71.6,94.2,3.55,75,75,136
202300042,2023-2024-1,汽车工程学院,车辆工程,94.8,74.1,3.98,110,110,136
202300042,2023-2024-2,汽车工程学院,车辆工程,88.2,91.4,3.15,71,71,136
202300042,2024-2025-1,汽车工程学院,车辆工程,83.0,94.6,3.16,61,61,136
202300042,2024-2025-2,汽车工程学院,车辆工程,82.8,68.3,2.75,118,118,136
202300042,2025-2026-1,汽车工程学院,车辆工程,89.8,78.2,3.3,10,10,136
202300042,2025-2026-2,汽车工程学院,车辆工程,83.4,74.0,3.24,18,18,136
202300043,2023-2024-1,汽车工程学院,车辆工程,72.4,69.9,3.96,13,13,136
202300043,2023-2024-2,汽车工程学院,车辆工程,86.4,71.9,2.77,15,15,136
202300043,2024-2025-1,汽车工程学院,车辆工程,86.7,90.4,3.48,127,127,136
202300043,2024-2025-2,汽车工程学院,车辆工程,87.4,81.5,3.01,94,94,136
202300043,2025-2026-1,汽车工程学院,车辆工程,70.1,75.4,3.4,69,69,136
202300043,2025-2026-2,汽车工程学院,车辆工程,86.5,87.8,3.2,99,99,136
202300044,2023-2024-1,汽车工程学院,车辆工程,90.7,83.7,3.29,12,12,136
202300044,2023-2024-2,汽车工程学院,车辆工程,86.9,84.6,2.9,42,42,136
202300044,2024-2025-1,汽车工程学院,车辆工程,89.6,80.9,2.86,121,121,136
202300044,2024-2025-2,汽车工程学院,车辆工程,93.0,85.7,3.55,11,11,136
202300044,2025-2026-1,汽车工程学院,车辆工程,83.3,71.1,3.17,134,134,136
202300044,2025-2026-2,汽车工程学院,车辆工程,90.6,68.3,3.73,54,54,136
202300045,2023-2024-1,汽车工程学院,车辆工程,70.8,77.1,3.22,21,21,136
202300045,2023-2024-2,汽车工程学院,车辆工程,93.7,74.3,3.49,16,16,136
202300045,2024-2025-1,汽车工程学院,车辆工程,88.8,85.8,3.45,86,86,136
202300045,2024-2025-2,汽车工程学院,车辆工程,83.7,89.0,2.82,129,129,136
202300045,2025-2026-1,汽车工程学院,车辆工程,93.1,89.1,3.23,133,133,136
202300045,2025-2026-2,汽车工程学院,车辆工程,87.6,91.8,3.89,51,51,136
202300046,2023-2024-1,汽车工程学院,车辆工程,84.5,75.2,3.37,125,125,136
202300046,2023-2024-2,汽车工程学院,车辆工程,74.8,88.4,3.57,82,82,136
202300046,2024-2025-1,汽车工程学院,车辆工程,93.2,79.9,3.96,128,128,136
202300046,2024-2025-2,汽车工程学院,车辆工程,71.8,69.9,3.58,32,32,136
202300046,2025-2026-1,汽车工程学院,车辆工程,75.4,76.9,3.44,88,88,136
202300046,2025-2026-2,汽车工程学院,车辆工程,82.6,78.5,3.83,9,9,136
202300047,2023-2024-1,汽车工程学院,车辆工程,76.8,94.0,2.96,59,59,136
202300047,2023-2024-2,汽车工程学院,车辆工程,94.5,69.7,2.97,129,129,136
202300047,2024-2025-1,汽车工程学院,车辆工程,85.7,73.2,3.88,32,32,136
202300047,2024-2025-2,汽车工程学院,车辆工程,76.6,86.9,3.3,125,125,136
202300047,2025-2026-1,汽车工程学院,车辆工程,79.5,72.6,3.77,5,5,136
202300047,2025-2026-2,汽车工程学院,车辆工程,73.4,78.6,2.82,120,120,136
202300048,2023-2024-1,汽车工程学院,车辆工程,85.7,84.7,3.95,98,98,136
202300048,2023-2024-2,汽车工程学院,车辆工程,89.3,89.0,3.11,95,95,136
202300048,2024-2025-1,汽车工程学院,车辆工程,71.7,73.5,3.29,120,120,136
202300048,2024-2025-2,汽车工程学院,车辆工程,78.3,78.4,3.52,108,108,136
202300048,2025-2026-1,汽车工程学院,车辆工程,73.5,89.5,3.16,10,10,136
202300048,2025-2026-2,汽车工程学院,车辆工程,71.3,85.4,3.1,59,59,136
202300049,2023-2024-1,汽车工程学院,车辆工程,76.5,87.9,2.87,12,12,136
202300049,2023-2024-2,汽车工程学院,车辆工程,84.9,73.2,3.26,91,91,136
202300049,2024-2025-1,汽车工程学院,车辆工程,85.3,80.1,3.0,1,1,136
202300049,2024-2025-2,汽车工程学院,车辆工程,70.4,80.8,3.77,50,50,136
202300049,2025-2026-1,汽车工程学院,车辆工程,87.2,84.9,3.24,38,38,136
202300049,2025-2026-2,汽车工程学院,车辆工程,77.8,74.7,2.96,41,41,136
202300050,2023-2024-1,汽车工程学院,车辆工程,84.1,72.8,2.84,131,131,136
202300050,2023-2024-2,汽车工程学院,车辆工程,72.6,74.8,2.92,53,53,136
202300050,2024-2025-1,汽车工程学院,车辆工程,70.4,90.5,3.17,3,3,136
202300050,2024-2025-2,汽车工程学院,车辆工程,83.0,74.6,3.6,63,63,136
202300050,2025-2026-1,汽车工程学院,车辆工程,88.5,84.5,3.65,18,18,136
202300050,2025-2026-2,汽车工程学院,车辆工程,78.0,85.4,3.23,133,133,136
202300051,2023-2024-1,汽车工程学院,车辆工程,89.5,87.9,3.47,58,58,136
202300051,2023-2024-2,汽车工程学院,车辆工程,94.5,75.1,3.38,70,70,136
202300051,2024-2025-1,汽车工程学院,车辆工程,92.4,87.8,3.41,134,134,136
202300051,2024-2025-2,汽车工程学院,车辆工程,77.9,70.6,3.75,21,21,136
202300051,2025-2026-1,汽车工程学院,车辆工程,81.7,94.9,3.25,43,43,136
202300051,2025-2026-2,汽车工程学院,车辆工程,92.8,78.0,2.73,74,74,136
202300052,2023-2024-1,汽车工程学院,车辆工程,79.8,68.6,3.25,17,17,136
202300052,2023-2024-2,汽车工程学院,车辆工程,80.7,70.6,3.46,40,40,136
202300052,2024-2025-1,汽车工程学院,车辆工程,85.1,78.3,3.08,58,58,136
202300052,2024-2025-2,汽车工程学院,车辆工程,76.4,72.6,3.88,30,30,136
202300052,2025-2026-1,汽车工程学院,车辆工程,72.9,92.3,3.13,12,12,136
202300052,2025-2026-2,汽车工程学院,车辆工程,73.9,84.5,2.74,113,113,136
202300053,2023-2024-1,汽车工程学院,车辆工程,90.1,79.7,3.94,16,16,136
202300053,2023-2024-2,汽车工程学院,车辆工程,79.6,77.7,2.87,130,130,136
202300053,2024-2025-1,汽车工程学院,车辆工程,88.9,86.3,3.93,107,107,136
202300053,2024-2025-2,汽车工程学院,车辆工程,87.0,79.5,2.9,99,99,136
