学号,组织名称,组织类型,职务,开始日期,结束日期,状态,审核人,审核意见
202300073,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300074,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300075,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,待审核,,
202300077,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,待审核,,
202300081,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300082,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300083,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300084,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300085,车辆2303班,班团委,文艺委员,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300086,车辆2303班,班团委,体育委员,2023-09-01,2024-09-01,待审核,,
202300087,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300089,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300094,校学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300095,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,待审核,,
202300097,校学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300098,车辆2303班,班团委,体育委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300100,车辆2303班,班团委,文艺委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300101,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300102,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300103,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300105,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300107,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300108,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300109,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300110,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,待审核,,
202300111,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,公示中,李文静,佐证材料完整，予以通过
202300113,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300114,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300115,车辆2304班,班团委,班长,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300118,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300119,校学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300120,车辆2304班,班团委,学习委员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300123,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300124,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300125,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300127,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,符合认定条件，通过
202300128,FSAE方程式赛车队,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,材料齐全，同意认定
202300131,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300134,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300135,FSAE方程式赛车队,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,李文静,佐证材料完整，予以通过
202300138,能动2301班,班团委,团支书,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300139,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300140,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300141,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300142,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300143,能动2301班,班团委,班长,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300144,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300146,能动2301班,班团委,团支书,2023-09-01,2024-09-01,待审核,,
202300147,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300148,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300149,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300150,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300151,校学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300153,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300154,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300156,能动2301班,班团委,文艺委员,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300158,能动2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300159,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300161,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300162,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300164,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300165,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300166,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,待审核,,
202300167,能动2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300168,FSAE方程式赛车队,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300169,能动2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300171,能动2302班,班团委,团支书,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300172,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300173,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,待审核,,
202300174,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,待审核,,
202300176,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300177,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,待审核,,
202300178,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300180,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,待审核,,
202300182,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300183,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300184,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300185,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,公示中,王海燕,佐证材料完整，予以通过
202300186,校学生会,学生会组织,干事,2023-09-01,2024-09-01,待审核,,
202300187,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300191,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300192,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300193,能动2302班,班团委,班长,2023-09-01,2024-09-01,通过,王海燕,材料齐全，同意认定
202300194,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,王海燕,符合认定条件，通过
202300195,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300196,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,待审核,,
202300200,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300203,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,王海燕,佐证材料完整，予以通过
202300205,机电2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300206,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300207,机电2301班,班团委,体育委员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300208,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300209,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300212,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300213,机电2301班,班团委,学习委员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300217,机电2301班,班团委,团支书,2023-09-01,2024-09-01,公示中,刘志强,符合认定条件，通过
202300218,校学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300219,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,待审核,,
202300223,机电2301班,班团委,团支书,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300224,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300226,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300227,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300228,FSAE方程式赛车队,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300229,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300230,智能汽车协会,科技类社团,副社长,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300231,机电2301班,班团委,文艺委员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300232,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,公示中,刘志强,材料齐全，同意认定
202300233,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300235,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300236,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300237,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300238,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300239,校学生会,学生会组织,干事,2023-09-01,2024-09-01,待审核,,
202300240,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300241,机电2302班,班团委,班长,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300243,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300244,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300245,校学生会,学生会组织,干事,2023-09-01,2024-09-01,待审核,,
202300246,校学生会,学生会组织,主席团,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300247,机电2302班,班团委,团支书,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300250,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300251,FSAE方程式赛车队,科技类社团,技术负责人,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300252,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300253,机电2302班,班团委,学习委员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300255,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300256,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300258,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300259,机电2302班,班团委,团支书,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300263,机电2302班,班团委,文艺委员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300265,机电2302班,班团委,学习委员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300266,机电2302班,班团委,体育委员,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300267,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300268,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,通过,刘志强,符合认定条件，通过
202300269,机电2302班,班团委,班长,2023-09-01,2024-09-01,通过,刘志强,材料齐全，同意认定
202300270,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,刘志强,佐证材料完整，予以通过
202300271,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,赵鹏,材料齐全，同意认定
202300272,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300273,校学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300275,交通2301班,班团委,团支书,2023-09-01,2024-09-01,通过,赵鹏,佐证材料完整，予以通过
202300276,FSAE方程式赛车队,科技类社团,成员,2023-09-01,2024-09-01,通过,赵鹏,材料齐全，同意认定
202300277,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300279,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300281,校学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300282,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,通过,赵鹏,材料齐全，同意认定
202300283,校学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,赵鹏,材料齐全，同意认定
202300284,FSAE方程式赛车队,科技类社团,队长,2023-09-01,2024-09-01,通过,赵鹏,佐证材料完整，予以通过
202300285,汽车工程学院学生会,学生会组织,干事,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300286,交通2301班,班团委,团支书,2023-09-01,2024-09-01,通过,赵鹏,佐证材料完整，予以通过
202300288,交通2301班,班团委,班长,2023-09-01,2024-09-01,待审核,,
202300292,智能汽车协会,科技类社团,成员,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300293,智能汽车协会,科技类社团,技术负责人,2023-09-01,2024-09-01,待审核,,
202300294,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300296,校学生会,学生会组织,干事,2023-09-01,2024-09-01,待审核,,
202300297,交通2301班,班团委,文艺委员,2023-09-01,2024-09-01,通过,赵鹏,符合认定条件，通过
202300298,校辩论队,文艺体育社团,成员,2023-09-01,2024-09-01,待审核,,
202300299,校篮球协会,文艺体育社团,成员,2023-09-01,2024-09-01,公示中,赵鹏,符合认定条件，通过
202300300,汽车工程学院学生会,学生会组织,部长,2023-09-01,2024-09-01,通过,赵鹏,佐证材料完整，予以通过
202400301,车辆2401班,班团委,学习委员,2024-09-01,2025-09-01,待审核,,
202400302,车辆2401班,班团委,班长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400303,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400304,车辆2401班,班团委,学习委员,2024-09-01,2025-09-01,驳回,张伟,认定依据不足，请补充说明材料
202400306,FSAE方程式赛车队,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400307,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,驳回,张伟,时间信息有误，请核对后重新提交
202400309,FSAE方程式赛车队,科技类社团,队长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400311,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400315,车辆2401班,班团委,文艺委员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400319,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,驳回,张伟,认定依据不足，请补充说明材料
202400321,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,驳回,张伟,盖章缺失，请重新上传完整材料
202400322,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400323,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400325,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400326,FSAE方程式赛车队,科技类社团,队长,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400328,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400329,FSAE方程式赛车队,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400330,校学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400334,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400335,FSAE方程式赛车队,科技类社团,技术负责人,2024-09-01,2025-09-01,待审核,,
202400336,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,公示中,张伟,符合认定条件，通过
202400338,校学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400339,智能汽车协会,科技类社团,副社长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400341,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400345,车辆2402班,班团委,体育委员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400350,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400351,车辆2402班,班团委,学习委员,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400352,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400353,车辆2402班,班团委,文艺委员,2024-09-01,2025-09-01,待审核,,
202400355,汽车工程学院学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400358,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400360,车辆2402班,班团委,体育委员,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400361,车辆2402班,班团委,体育委员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400362,校学生会,学生会组织,主席团,2024-09-01,2025-09-01,驳回,张伟,时间信息有误，请核对后重新提交
202400364,智能汽车协会,科技类社团,成员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400369,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400371,车辆2403班,班团委,团支书,2024-09-01,2025-09-01,驳回,张伟,盖章缺失，请重新上传完整材料
202400372,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400373,车辆2403班,班团委,团支书,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400374,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400375,车辆2403班,班团委,团支书,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400377,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400388,车辆2403班,班团委,体育委员,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400389,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400390,车辆2403班,班团委,团支书,2024-09-01,2025-09-01,驳回,张伟,时间信息有误，请核对后重新提交
202400391,汽车工程学院学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400392,校学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400393,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400394,FSAE方程式赛车队,科技类社团,成员,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400395,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400397,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,材料齐全，同意认定
202400398,校学生会,学生会组织,部长,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400401,FSAE方程式赛车队,科技类社团,技术负责人,2024-09-01,2025-09-01,待审核,,
202400403,校辩论队,文艺体育社团,成员,2024-09-01,2025-09-01,待审核,,
202400405,校篮球协会,文艺体育社团,成员,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400407,车辆2404班,班团委,团支书,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400408,FSAE方程式赛车队,科技类社团,成员,2024-09-01,2025-09-01,通过,张伟,佐证材料完整，予以通过
202400411,校学生会,学生会组织,干事,2024-09-01,2025-09-01,通过,张伟,符合认定条件，通过
202400412,校学生会,学生会组织,干事,2024-09-01,2025-09-01,待审核,,
202400414,智能汽车协会,科技类社团,技术负责人,2024-09-01,2025-09-01,驳回,张伟,时间信息有误，请核对后重新提交
