学号,团队名称,类型,主题,主办单位,开始日期,结束日期,状态,审核人,审核意见
202300012,赴日照乡村振兴实践团,校级重点团队,乡村振兴调研,威海团市委,2024-07-05,2024-07-28,公示中,李文静,材料齐全，同意认定
202300012,赴潍坊红色基地实践团,企业实习实践,红色基地研学,威海团市委,2025-07-08,2025-07-17,待审核,,
202300013,赴泰安社区志愿实践团,自主实践团队,社区志愿服务,校团委,2024-07-07,2024-07-27,通过,李文静,符合认定条件，通过
202300013,赴德州汽车产业实践团,校级重点团队,汽车产业链调研,威海团市委,2025-07-04,2025-07-17,通过,李文静,符合认定条件，通过
202300014,赴潍坊乡村振兴实践团,企业实习实践,乡村振兴调研,汽车工程学院,2024-07-04,2024-07-27,通过,李文静,符合认定条件，通过
202300014,赴临沂科技支农实践团,企业实习实践,科技支农帮扶,汽车工程学院,2025-07-02,2025-07-18,通过,李文静,佐证材料完整，予以通过
202300015,赴泰安科技支农实践团,自主实践团队,科技支农帮扶,威海团市委,2024-07-05,2024-07-17,通过,李文静,材料齐全，同意认定
202300015,赴威海黄河流域实践团,返家乡实践,黄河流域生态考察,校团委,2025-07-03,2025-07-22,通过,李文静,材料齐全，同意认定
202300016,赴泰安社区志愿实践团,返家乡实践,社区志愿服务,汽车工程学院,2024-07-02,2024-07-24,通过,李文静,符合认定条件，通过
202300016,赴泰安海洋生态实践团,院级重点团队,海洋生态保护宣传,校团委,2025-07-05,2025-07-24,待审核,,
202300017,赴威海黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2024-07-03,2024-07-24,通过,李文静,材料齐全，同意认定
202300017,赴临沂黄河流域实践团,自主实践团队,黄河流域生态考察,汽车工程学院,2025-07-06,2025-07-23,通过,李文静,佐证材料完整，予以通过
202300018,赴临沂红色基因实践团,院级重点团队,红色基因传承,威海团市委,2024-07-07,2024-07-26,通过,李文静,材料齐全，同意认定
202300018,赴日照海洋生态实践团,返家乡实践,海洋生态保护宣传,威海团市委,2025-07-06,2025-07-18,通过,李文静,佐证材料完整，予以通过
202300019,赴临沂乡村振兴实践团,自主实践团队,乡村振兴调研,威海团市委,2024-07-05,2024-07-24,通过,李文静,佐证材料完整，予以通过
202300019,赴枣庄乡村振兴实践团,自主实践团队,乡村振兴调研,校团委,2025-07-04,2025-07-27,通过,李文静,材料齐全，同意认定
202300020,赴淄博科技支农实践团,返家乡实践,科技支农帮扶,威海团市委,2024-07-10,2024-07-23,通过,李文静,佐证材料完整，予以通过
202300020,赴济宁黄河流域实践团,院级重点团队,黄河流域生态考察,汽车工程学院,2025-07-06,2025-07-22,通过,李文静,符合认定条件，通过
202300021,赴东营关爱留守实践团,企业实习实践,关爱留守儿童,威海团市委,2024-07-04,2024-07-17,待审核,,
202300021,赴日照红色基地实践团,校级重点团队,红色基地研学,校团委,2025-07-01,2025-07-16,通过,李文静,佐证材料完整，予以通过
202300022,赴东营红色基地实践团,企业实习实践,红色基地研学,汽车工程学院,2024-07-06,2024-07-27,待审核,,
202300022,赴潍坊红色基因实践团,企业实习实践,红色基因传承,汽车工程学院,2025-07-06,2025-07-27,通过,李文静,符合认定条件，通过
202300023,赴日照关爱留守实践团,企业实习实践,关爱留守儿童,威海团市委,2024-07-06,2024-07-25,通过,李文静,佐证材料完整，予以通过
202300023,赴济宁红色基地实践团,自主实践团队,红色基地研学,校团委,2025-07-03,2025-07-20,通过,李文静,佐证材料完整，予以通过
202300024,赴聊城乡村振兴实践团,返家乡实践,乡村振兴调研,威海团市委,2024-07-08,2024-07-15,通过,李文静,佐证材料完整，予以通过
202300024,赴济宁黄河流域实践团,返家乡实践,黄河流域生态考察,汽车工程学院,2025-07-09,2025-07-24,通过,李文静,佐证材料完整，予以通过
202300025,赴潍坊社区志愿实践团,自主实践团队,社区志愿服务,威海团市委,2024-07-10,2024-07-28,通过,李文静,佐证材料完整，予以通过
202300025,赴威海企业走访实践团,院级重点团队,企业走访见习,汽车工程学院,2025-07-09,2025-07-21,公示中,李文静,符合认定条件，通过
202300026,赴枣庄社区志愿实践团,自主实践团队,社区志愿服务,威海团市委,2024-07-03,2024-07-16,通过,李文静,佐证材料完整，予以通过
202300026,赴潍坊汽车产业实践团,自主实践团队,汽车产业链调研,威海团市委,2025-07-10,2025-07-23,通过,李文静,符合认定条件，通过
202300027,赴潍坊社区志愿实践团,自主实践团队,社区志愿服务,威海团市委,2024-07-01,2024-07-19,通过,李文静,材料齐全，同意认定
202300027,赴日照海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2025-07-02,2025-07-23,通过,李文静,符合认定条件，通过
202300028,赴烟台科技支农实践团,自主实践团队,科技支农帮扶,威海团市委,2024-07-01,2024-07-20,通过,李文静,符合认定条件，通过
202300028,赴临沂企业走访实践团,返家乡实践,企业走访见习,汽车工程学院,2025-07-07,2025-07-23,通过,李文静,材料齐全，同意认定
202300029,赴东营黄河流域实践团,企业实习实践,黄河流域生态考察,校团委,2024-07-08,2024-07-23,通过,李文静,符合认定条件，通过
202300029,赴青岛海洋生态实践团,校级重点团队,海洋生态保护宣传,威海团市委,2025-07-02,2025-07-24,通过,李文静,符合认定条件，通过
202300030,赴东营社区志愿实践团,院级重点团队,社区志愿服务,校团委,2024-07-02,2024-07-25,通过,李文静,佐证材料完整，予以通过
202300030,赴枣庄汽车产业实践团,自主实践团队,汽车产业链调研,校团委,2025-07-04,2025-07-22,通过,李文静,佐证材料完整，予以通过
202300031,赴济南乡村振兴实践团,企业实习实践,乡村振兴调研,校团委,2024-07-07,2024-07-27,通过,李文静,佐证材料完整，予以通过
202300031,赴潍坊红色基地实践团,返家乡实践,红色基地研学,威海团市委,2025-07-02,2025-07-21,通过,李文静,符合认定条件，通过
202300032,赴威海社区志愿实践团,自主实践团队,社区志愿服务,威海团市委,2024-07-03,2024-07-17,通过,李文静,佐证材料完整，予以通过
202300032,赴聊城企业走访实践团,校级重点团队,企业走访见习,校团委,2025-07-02,2025-07-15,待审核,,
202300033,赴临沂社区志愿实践团,校级重点团队,社区志愿服务,校团委,2024-07-08,2024-07-17,公示中,李文静,佐证材料完整，予以通过
202300033,赴泰安科技支农实践团,返家乡实践,科技支农帮扶,威海团市委,2025-07-10,2025-07-27,通过,李文静,佐证材料完整，予以通过
202300034,赴东营红色基因实践团,返家乡实践,红色基因传承,汽车工程学院,2024-07-10,2024-07-16,通过,李文静,材料齐全，同意认定
202300034,赴东营企业走访实践团,自主实践团队,企业走访见习,汽车工程学院,2025-07-01,2025-07-16,待审核,,
202300035,赴临沂关爱留守实践团,院级重点团队,关爱留守儿童,威海团市委,2024-07-09,2024-07-26,通过,李文静,佐证材料完整，予以通过
202300035,赴烟台关爱留守实践团,返家乡实践,关爱留守儿童,校团委,2025-07-08,2025-07-17,公示中,李文静,佐证材料完整，予以通过
202300036,赴临沂社区志愿实践团,返家乡实践,社区志愿服务,汽车工程学院,2024-07-02,2024-07-22,通过,李文静,符合认定条件，通过
202300036,赴东营红色基地实践团,自主实践团队,红色基地研学,威海团市委,2025-07-01,2025-07-28,通过,李文静,材料齐全，同意认定
202300037,赴日照红色基因实践团,自主实践团队,红色基因传承,校团委,2024-07-04,2024-07-17,通过,李文静,符合认定条件，通过
202300037,赴枣庄企业走访实践团,返家乡实践,企业走访见习,威海团市委,2025-07-05,2025-07-27,通过,李文静,佐证材料完整，予以通过
202300038,赴青岛海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2024-07-08,2024-07-15,通过,李文静,材料齐全，同意认定
202300038,赴青岛乡村振兴实践团,院级重点团队,乡村振兴调研,校团委,2025-07-01,2025-07-26,通过,李文静,材料齐全，同意认定
202300039,赴东营汽车产业实践团,企业实习实践,汽车产业链调研,汽车工程学院,2024-07-01,2024-07-24,通过,李文静,符合认定条件，通过
202300039,赴潍坊关爱留守实践团,返家乡实践,关爱留守儿童,汽车工程学院,2025-07-03,2025-07-26,通过,李文静,佐证材料完整，予以通过
202300040,赴烟台海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2024-07-05,2024-07-15,通过,李文静,符合认定条件，通过
202300040,赴临沂科技支农实践团,返家乡实践,科技支农帮扶,威海团市委,2025-07-05,2025-07-26,通过,李文静,材料齐全，同意认定
202300041,赴青岛企业走访实践团,院级重点团队,企业走访见习,汽车工程学院,2024-07-09,2024-07-26,通过,李文静,符合认定条件，通过
202300041,赴泰安乡村振兴实践团,企业实习实践,乡村振兴调研,汽车工程学院,2025-07-03,2025-07-27,通过,李文静,材料齐全，同意认定
202300042,赴临沂关爱留守实践团,返家乡实践,关爱留守儿童,汽车工程学院,2024-07-10,2024-07-22,通过,李文静,材料齐全，同意认定
202300042,赴济南社区志愿实践团,校级重点团队,社区志愿服务,威海团市委,2025-07-06,2025-07-28,通过,李文静,符合认定条件，通过
202300043,赴德州黄河流域实践团,企业实习实践,黄河流域生态考察,校团委,2024-07-07,2024-07-21,通过,李文静,符合认定条件，通过
202300043,赴淄博海洋生态实践团,校级重点团队,海洋生态保护宣传,威海团市委,2025-07-01,2025-07-16,通过,李文静,材料齐全，同意认定
202300044,赴青岛科技支农实践团,企业实习实践,科技支农帮扶,校团委,2024-07-01,2024-07-18,通过,李文静,符合认定条件，通过
202300044,赴枣庄红色基地实践团,自主实践团队,红色基地研学,汽车工程学院,2025-07-10,2025-07-21,通过,李文静,佐证材料完整，予以通过
202300045,赴德州黄河流域实践团,自主实践团队,黄河流域生态考察,校团委,2024-07-07,2024-07-28,通过,李文静,材料齐全，同意认定
202300045,赴烟台海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2025-07-06,2025-07-23,通过,李文静,材料齐全，同意认定
202300046,赴德州红色基地实践团,校级重点团队,红色基地研学,威海团市委,2024-07-06,2024-07-18,通过,李文静,佐证材料完整，予以通过
202300046,赴潍坊企业走访实践团,企业实习实践,企业走访见习,汽车工程学院,2025-07-08,2025-07-19,通过,李文静,材料齐全，同意认定
202300047,赴济宁科技支农实践团,校级重点团队,科技支农帮扶,威海团市委,2024-07-04,2024-07-15,通过,李文静,材料齐全，同意认定
202300047,赴济宁乡村振兴实践团,院级重点团队,乡村振兴调研,校团委,2025-07-07,2025-07-22,通过,李文静,佐证材料完整，予以通过
202300048,赴潍坊关爱留守实践团,返家乡实践,关爱留守儿童,汽车工程学院,2024-07-01,2024-07-19,通过,李文静,材料齐全，同意认定
202300048,赴聊城乡村振兴实践团,企业实习实践,乡村振兴调研,汽车工程学院,2025-07-05,2025-07-26,通过,李文静,符合认定条件，通过
202300049,赴威海企业走访实践团,企业实习实践,企业走访见习,汽车工程学院,2024-07-10,2024-07-15,通过,李文静,符合认定条件，通过
202300049,赴潍坊关爱留守实践团,企业实习实践,关爱留守儿童,汽车工程学院,2025-07-04,2025-07-20,通过,李文静,材料齐全，同意认定
202300050,赴济宁海洋生态实践团,企业实习实践,海洋生态保护宣传,威海团市委,2024-07-09,2024-07-23,通过,李文静,符合认定条件，通过
202300050,赴德州关爱留守实践团,校级重点团队,关爱留守儿童,校团委,2025-07-04,2025-07-21,通过,李文静,材料齐全，同意认定
202300051,赴东营红色基地实践团,院级重点团队,红色基地研学,校团委,2024-07-02,2024-07-23,通过,李文静,材料齐全，同意认定
202300051,赴威海科技支农实践团,企业实习实践,科技支农帮扶,威海团市委,2025-07-04,2025-07-15,通过,李文静,材料齐全，同意认定
202300052,赴烟台企业走访实践团,自主实践团队,企业走访见习,校团委,2024-07-03,2024-07-16,通过,李文静,符合认定条件，通过
202300052,赴聊城红色基地实践团,院级重点团队,红色基地研学,威海团市委,2025-07-03,2025-07-22,通过,李文静,符合认定条件，通过
202300053,赴淄博企业走访实践团,院级重点团队,企业走访见习,威海团市委,2024-07-05,2024-07-18,通过,李文静,符合认定条件，通过
202300053,赴东营黄河流域实践团,企业实习实践,黄河流域生态考察,威海团市委,2025-07-07,2025-07-25,通过,李文静,材料齐全，同意认定
202300054,赴威海红色基因实践团,校级重点团队,红色基因传承,汽车工程学院,2024-07-04,2024-07-26,通过,李文静,符合认定条件，通过
202300054,赴青岛红色基地实践团,企业实习实践,红色基地研学,威海团市委,2025-07-02,2025-07-24,待审核,,
202300055,赴日照红色基因实践团,返家乡实践,红色基因传承,校团委,2024-07-08,2024-07-26,待审核,,
202300055,赴聊城企业走访实践团,院级重点团队,企业走访见习,威海团市委,2025-07-01,2025-07-28,通过,李文静,佐证材料完整，予以通过
202300056,赴枣庄汽车产业实践团,院级重点团队,汽车产业链调研,汽车工程学院,2024-07-08,2024-07-20,待审核,,
202300056,赴济南关爱留守实践团,校级重点团队,关爱留守儿童,汽车工程学院,2025-07-05,2025-07-22,通过,李文静,佐证材料完整，予以通过
202300057,赴威海黄河流域实践团,自主实践团队,黄河流域生态考察,汽车工程学院,2024-07-10,2024-07-21,通过,李文静,材料齐全，同意认定
202300057,赴威海社区志愿实践团,企业实习实践,社区志愿服务,威海团市委,2025-07-02,2025-07-26,通过,李文静,佐证材料完整，予以通过
202300058,赴济南乡村振兴实践团,院级重点团队,乡村振兴调研,汽车工程学院,2024-07-01,2024-07-24,通过,李文静,符合认定条件，通过
202300058,赴威海社区志愿实践团,院级重点团队,社区志愿服务,威海团市委,2025-07-08,2025-07-26,通过,李文静,符合认定条件，通过
202300059,赴枣庄海洋生态实践团,自主实践团队,海洋生态保护宣传,威海团市委,2024-07-08,2024-07-18,通过,李文静,符合认定条件，通过
202300059,赴聊城海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2025-07-03,2025-07-22,通过,李文静,材料齐全，同意认定
202300060,赴济南汽车产业实践团,校级重点团队,汽车产业链调研,汽车工程学院,2024-07-02,2024-07-17,通过,李文静,符合认定条件，通过
202300060,赴日照乡村振兴实践团,校级重点团队,乡村振兴调研,校团委,2025-07-04,2025-07-19,通过,李文静,符合认定条件，通过
202300061,赴威海企业走访实践团,校级重点团队,企业走访见习,汽车工程学院,2024-07-05,2024-07-23,通过,李文静,材料齐全，同意认定
202300061,赴济宁社区志愿实践团,企业实习实践,社区志愿服务,校团委,2025-07-05,2025-07-16,通过,李文静,佐证材料完整，予以通过
202300062,赴烟台汽车产业实践团,返家乡实践,汽车产业链调研,汽车工程学院,2024-07-02,2024-07-17,通过,李文静,佐证材料完整，予以通过
202300062,赴青岛海洋生态实践团,校级重点团队,海洋生态保护宣传,威海团市委,2025-07-01,2025-07-19,通过,李文静,佐证材料完整，予以通过
202300063,赴泰安汽车产业实践团,校级重点团队,汽车产业链调研,校团委,2024-07-05,2024-07-26,通过,李文静,符合认定条件，通过
202300063,赴临沂社区志愿实践团,校级重点团队,社区志愿服务,汽车工程学院,2025-07-09,2025-07-23,通过,李文静,材料齐全，同意认定
202300064,赴临沂海洋生态实践团,校级重点团队,海洋生态保护宣传,威海团市委,2024-07-02,2024-07-28,通过,李文静,佐证材料完整，予以通过
202300064,赴济宁关爱留守实践团,自主实践团队,关爱留守儿童,校团委,2025-07-01,2025-07-24,通过,李文静,材料齐全，同意认定
202300065,赴淄博黄河流域实践团,自主实践团队,黄河流域生态考察,威海团市委,2024-07-08,2024-07-20,通过,李文静,符合认定条件，通过
202300065,赴淄博红色基因实践团,企业实习实践,红色基因传承,校团委,2025-07-08,2025-07-22,通过,李文静,材料齐全，同意认定
202300066,赴泰安红色基地实践团,企业实习实践,红色基地研学,汽车工程学院,2024-07-09,2024-07-23,通过,李文静,符合认定条件，通过
202300066,赴淄博红色基地实践团,自主实践团队,红色基地研学,威海团市委,2025-07-03,2025-07-28,通过,李文静,符合认定条件，通过
202300067,赴泰安科技支农实践团,企业实习实践,科技支农帮扶,威海团市委,2024-07-09,2024-07-26,通过,李文静,材料齐全，同意认定
202300067,赴德州黄河流域实践团,院级重点团队,黄河流域生态考察,校团委,2025-07-02,2025-07-21,通过,李文静,符合认定条件，通过
202300068,赴济南社区志愿实践团,自主实践团队,社区志愿服务,校团委,2024-07-10,2024-07-21,通过,李文静,材料齐全，同意认定
202300068,赴烟台红色基地实践团,院级重点团队,红色基地研学,汽车工程学院,2025-07-01,2025-07-23,通过,李文静,材料齐全，同意认定
202300069,赴日照汽车产业实践团,企业实习实践,汽车产业链调研,汽车工程学院,2024-07-06,2024-07-18,待审核,,
202300069,赴威海乡村振兴实践团,返家乡实践,乡村振兴调研,汽车工程学院,2025-07-10,2025-07-15,待审核,,
202300070,赴德州科技支农实践团,院级重点团队,科技支农帮扶,威海团市委,2024-07-03,2024-07-18,通过,李文静,符合认定条件，通过
202300070,赴济南黄河流域实践团,院级重点团队,黄河流域生态考察,威海团市委,2025-07-03,2025-07-23,通过,李文静,符合认定条件，通过
202300071,赴济南科技支农实践团,返家乡实践,科技支农帮扶,威海团市委,2024-07-10,2024-07-19,通过,李文静,符合认定条件，通过
202300071,赴威海社区志愿实践团,院级重点团队,社区志愿服务,汽车工程学院,2025-07-08,2025-07-22,通过,李文静,符合认定条件，通过
202300072,赴济宁社区志愿实践团,院级重点团队,社区志愿服务,汽车工程学院,2024-07-07,2024-07-19,待审核,,
202300072,赴临沂黄河流域实践团,校级重点团队,黄河流域生态考察,校团委,2025-07-01,2025-07-28,通过,李文静,佐证材料完整，予以通过
202300073,赴临沂黄河流域实践团,自主实践团队,黄河流域生态考察,威海团市委,2024-07-08,2024-07-19,通过,李文静,佐证材料完整，予以通过
202300073,赴日照红色基地实践团,自主实践团队,红色基地研学,汽车工程学院,2025-07-04,2025-07-16,通过,李文静,佐证材料完整，予以通过
202300074,赴淄博科技支农实践团,校级重点团队,科技支农帮扶,校团委,2024-07-09,2024-07-19,通过,李文静,符合认定条件，通过
202300074,赴济南乡村振兴实践团,返家乡实践,乡村振兴调研,威海团市委,2025-07-04,2025-07-19,通过,李文静,符合认定条件，通过
202300075,赴潍坊社区志愿实践团,自主实践团队,社区志愿服务,威海团市委,2024-07-01,2024-07-24,通过,李文静,材料齐全，同意认定
202300075,赴聊城红色基地实践团,校级重点团队,红色基地研学,汽车工程学院,2025-07-09,2025-07-21,通过,李文静,材料齐全，同意认定
202300076,赴青岛社区志愿实践团,校级重点团队,社区志愿服务,校团委,2024-07-06,2024-07-24,待审核,,
202300076,赴青岛关爱留守实践团,自主实践团队,关爱留守儿童,威海团市委,2025-07-01,2025-07-26,待审核,,
202300077,赴济南红色基因实践团,企业实习实践,红色基因传承,威海团市委,2024-07-03,2024-07-28,通过,李文静,佐证材料完整，予以通过
202300077,赴聊城红色基地实践团,返家乡实践,红色基地研学,校团委,2025-07-05,2025-07-22,通过,李文静,佐证材料完整，予以通过
202300078,赴临沂乡村振兴实践团,自主实践团队,乡村振兴调研,校团委,2024-07-10,2024-07-25,公示中,李文静,材料齐全，同意认定
202300078,赴泰安关爱留守实践团,校级重点团队,关爱留守儿童,威海团市委,2025-07-09,2025-07-21,通过,李文静,佐证材料完整，予以通过
202300079,赴德州海洋生态实践团,企业实习实践,海洋生态保护宣传,校团委,2024-07-07,2024-07-28,通过,李文静,佐证材料完整，予以通过
202300079,赴临沂企业走访实践团,企业实习实践,企业走访见习,校团委,2025-07-03,2025-07-25,通过,李文静,佐证材料完整，予以通过
202300080,赴枣庄社区志愿实践团,校级重点团队,社区志愿服务,汽车工程学院,2024-07-09,2024-07-24,通过,李文静,符合认定条件，通过
202300080,赴临沂红色基地实践团,校级重点团队,红色基地研学,汽车工程学院,2025-07-10,2025-07-18,通过,李文静,佐证材料完整，予以通过
202300081,赴威海企业走访实践团,企业实习实践,企业走访见习,威海团市委,2024-07-07,2024-07-17,通过,李文静,符合认定条件，通过
202300081,赴威海社区志愿实践团,院级重点团队,社区志愿服务,汽车工程学院,2025-07-06,2025-07-22,公示中,李文静,符合认定条件，通过
202300082,赴临沂海洋生态实践团,校级重点团队,海洋生态保护宣传,汽车工程学院,2024-07-08,2024-07-18,通过,李文静,材料齐全，同意认定
202300082,赴济南红色基因实践团,校级重点团队,红色基因传承,汽车工程学院,2025-07-05,2025-07-21,待审核,,
202300083,赴日照海洋生态实践团,自主实践团队,海洋生态保护宣传,汽车工程学院,2024-07-07,2024-07-22,通过,李文静,佐证材料完整，予以通过
202300083,赴东营红色基因实践团,自主实践团队,红色基因传承,汽车工程学院,2025-07-08,2025-07-19,通过,李文静,符合认定条件，通过
202300084,赴日照海洋生态实践团,自主实践团队,海洋生态保护宣传,汽车工程学院,2024-07-09,2024-07-28,通过,李文静,材料齐全，同意认定
202300084,赴烟台海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2025-07-09,2025-07-27,通过,李文静,符合认定条件，通过
202300085,赴东营企业走访实践团,自主实践团队,企业走访见习,汽车工程学院,2024-07-05,2024-07-20,待审核,,
202300085,赴德州汽车产业实践团,院级重点团队,汽车产业链调研,威海团市委,2025-07-02,2025-07-27,通过,李文静,材料齐全，同意认定
202300086,赴烟台红色基因实践团,企业实习实践,红色基因传承,校团委,2024-07-02,2024-07-18,公示中,李文静,材料齐全，同意认定
202300086,赴潍坊关爱留守实践团,自主实践团队,关爱留守儿童,威海团市委,2025-07-02,2025-07-16,通过,李文静,材料齐全，同意认定
202300087,赴泰安海洋生态实践团,企业实习实践,海洋生态保护宣传,校团委,2024-07-07,2024-07-24,通过,李文静,符合认定条件，通过
202300087,赴德州汽车产业实践团,自主实践团队,汽车产业链调研,威海团市委,2025-07-07,2025-07-16,通过,李文静,材料齐全，同意认定
202300088,赴德州海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2024-07-06,2024-07-28,待审核,,
202300088,赴东营社区志愿实践团,院级重点团队,社区志愿服务,汽车工程学院,2025-07-06,2025-07-20,通过,李文静,佐证材料完整，予以通过
202300089,赴日照汽车产业实践团,返家乡实践,汽车产业链调研,威海团市委,2024-07-06,2024-07-15,通过,李文静,佐证材料完整，予以通过
202300089,赴德州乡村振兴实践团,院级重点团队,乡村振兴调研,汽车工程学院,2025-07-02,2025-07-15,通过,李文静,佐证材料完整，予以通过
202300090,赴枣庄红色基地实践团,院级重点团队,红色基地研学,威海团市委,2024-07-04,2024-07-22,通过,李文静,佐证材料完整，予以通过
202300090,赴烟台海洋生态实践团,自主实践团队,海洋生态保护宣传,校团委,2025-07-02,2025-07-15,通过,李文静,材料齐全，同意认定
202300091,赴临沂海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2024-07-06,2024-07-19,通过,李文静,材料齐全，同意认定
202300091,赴德州企业走访实践团,校级重点团队,企业走访见习,威海团市委,2025-07-10,2025-07-21,公示中,李文静,符合认定条件，通过
202300092,赴潍坊科技支农实践团,自主实践团队,科技支农帮扶,威海团市委,2024-07-03,2024-07-19,通过,李文静,材料齐全，同意认定
202300092,赴威海红色基地实践团,院级重点团队,红色基地研学,校团委,2025-07-05,2025-07-18,通过,李文静,佐证材料完整，予以通过
202300093,赴东营社区志愿实践团,企业实习实践,社区志愿服务,汽车工程学院,2024-07-06,2024-07-18,待审核,,
202300093,赴临沂汽车产业实践团,校级重点团队,汽车产业链调研,威海团市委,2025-07-03,2025-07-25,通过,李文静,符合认定条件，通过
202300094,赴聊城黄河流域实践团,院级重点团队,黄河流域生态考察,校团委,2024-07-01,2024-07-28,通过,李文静,材料齐全，同意认定
202300094,赴日照海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2025-07-10,2025-07-17,通过,李文静,材料齐全，同意认定
202300095,赴济南海洋生态实践团,校级重点团队,海洋生态保护宣传,校团委,2024-07-09,2024-07-20,通过,李文静,佐证材料完整，予以通过
202300095,赴淄博乡村振兴实践团,返家乡实践,乡村振兴调研,校团委,2025-07-04,2025-07-28,通过,李文静,符合认定条件，通过
202300096,赴烟台企业走访实践团,自主实践团队,企业走访见习,威海团市委,2024-07-08,2024-07-28,通过,李文静,佐证材料完整，予以通过
202300096,赴枣庄乡村振兴实践团,自主实践团队,乡村振兴调研,校团委,2025-07-05,2025-07-15,通过,李文静,材料齐全，同意认定
202300097,赴青岛企业走访实践团,院级重点团队,企业走访见习,汽车工程学院,2024-07-02,2024-07-22,通过,李文静,佐证材料完整，予以通过
202300097,赴烟台汽车产业实践团,返家乡实践,汽车产业链调研,校团委,2025-07-03,2025-07-27,通过,李文静,材料齐全，同意认定
202300098,赴烟台黄河流域实践团,自主实践团队,黄河流域生态考察,校团委,2024-07-08,2024-07-27,通过,李文静,佐证材料完整，予以通过
202300098,赴枣庄乡村振兴实践团,返家乡实践,乡村振兴调研,汽车工程学院,2025-07-01,2025-07-27,通过,李文静,材料齐全，同意认定
202300099,赴聊城乡村振兴实践团,自主实践团队,乡村振兴调研,汽车工程学院,2024-07-05,2024-07-20,通过,李文静,符合认定条件，通过
202300099,赴潍坊乡村振兴实践团,校级重点团队,乡村振兴调研,威海团市委,2025-07-07,2025-07-18,通过,李文静,材料齐全，同意认定
