学号,荣誉名称,级别,授予单位,获得日期,状态,审核人,审核意见
202300021,校三好学生,校级,学生工作处,2025-02-19,待审核,,
202300021,校园十佳志愿者,校级,学校,2023-11-03,待审核,,
202300022,校三好学生,校级,汽车工程学院,2025-01-13,待审核,,
202300022,校一等奖学金,校级,汽车工程学院,2024-02-24,通过,李文静,材料齐全，同意认定
202300023,优秀共青团员,校级,汽车工程学院,2025-04-12,通过,李文静,佐证材料完整，予以通过
202300023,校三等奖学金,校级,学校,2025-06-15,通过,李文静,材料齐全，同意认定
202300024,校三等奖学金,校级,学生工作处,2025-01-04,通过,李文静,材料齐全，同意认定
202300024,校三好学生,校级,校团委,2024-08-01,通过,李文静,佐证材料完整，予以通过
202300025,优秀共青团干部,校级,校团委,2023-05-26,通过,李文静,佐证材料完整，予以通过
202300025,校一等奖学金,校级,校团委,2026-03-06,通过,李文静,符合认定条件，通过
202300026,军训优秀学员,院级,学校,2025-09-25,待院长审批,李文静,初审通过，转院长审批
202300026,优秀共青团员,校级,学校,2023-08-17,通过,李文静,符合认定条件，通过
202300027,校优秀学生干部,校级,学生工作处,2024-09-04,通过,李文静,佐证材料完整，予以通过
202300027,校三等奖学金,校级,校团委,2024-07-14,通过,李文静,材料齐全，同意认定
202300028,校三好学生,校级,汽车工程学院,2026-06-02,通过,李文静,佐证材料完整，予以通过
202300028,校三等奖学金,校级,汽车工程学院,2024-12-18,通过,李文静,佐证材料完整，予以通过
202300029,校三等奖学金,校级,学生工作处,2025-10-26,通过,李文静,材料齐全，同意认定
202300029,优秀共青团员,校级,校团委,2025-05-15,待院长审批,李文静,初审通过，转院长审批
202300030,优秀共青团干部,校级,汽车工程学院,2025-05-14,通过,李文静,符合认定条件，通过
202300030,国家奖学金,国家级,校团委,2023-07-14,公示中,李文静,佐证材料完整，予以通过
202300031,国家励志奖学金,国家级,汽车工程学院,2026-08-01,通过,李文静,佐证材料完整，予以通过
202300031,优秀共青团干部,校级,校团委,2024-03-24,通过,李文静,材料齐全，同意认定
202300032,国家奖学金,国家级,学校,2025-01-19,通过,李文静,佐证材料完整，予以通过
202300032,军训优秀学员,院级,学生工作处,2023-03-26,通过,李文静,符合认定条件，通过
202300033,国家励志奖学金,国家级,学校,2025-08-06,通过,李文静,符合认定条件，通过
202300033,国家奖学金,国家级,学生工作处,2026-01-07,通过,李文静,佐证材料完整，予以通过
202300034,优秀共青团员,校级,学生工作处,2024-05-25,通过,李文静,材料齐全，同意认定
202300034,校二等奖学金,校级,学生工作处,2026-04-24,待审核,,
202300035,校园十佳志愿者,校级,校团委,2024-11-24,待审核,,
202300035,校一等奖学金,校级,校团委,2025-09-10,通过,李文静,佐证材料完整，予以通过
202300036,校三好学生,校级,校团委,2024-01-20,待审核,,
202300036,校园十佳志愿者,校级,校团委,2024-05-11,通过,李文静,材料齐全，同意认定
202300037,校三好学生,校级,汽车工程学院,2024-07-22,通过,李文静,符合认定条件，通过
202300037,优秀共青团干部,校级,汽车工程学院,2023-04-07,通过,李文静,材料齐全，同意认定
202300038,校园十佳志愿者,校级,学校,2025-05-16,通过,李文静,符合认定条件，通过
202300038,国家励志奖学金,国家级,汽车工程学院,2025-11-10,待审核,,
202300039,国家励志奖学金,国家级,校团委,2026-07-12,待审核,,
202300039,优秀共青团员,校级,校团委,2025-09-12,通过,李文静,符合认定条件，通过
202300040,校园十佳志愿者,校级,学校,2026-04-01,通过,李文静,材料齐全，同意认定
202300040,校一等奖学金,校级,学生工作处,2025-09-11,待院长审批,李文静,初审通过，转院长审批
202300041,校优秀学生干部,校级,校团委,2025-08-20,待审核,,
202300041,校一等奖学金,校级,学校,2026-02-01,通过,李文静,材料齐全，同意认定
202300042,优秀共青团员,校级,学校,2025-04-15,通过,李文静,佐证材料完整，予以通过
202300042,国家励志奖学金,国家级,校团委,2023-07-05,待审核,,
202300043,社会实践先进个人,校级,学生工作处,2025-07-17,待院长审批,李文静,初审通过，转院长审批
202300043,国家奖学金,国家级,学生工作处,2026-04-01,待院长审批,李文静,初审通过，转院长审批
202300044,国家励志奖学金,国家级,校团委,2026-05-19,通过,李文静,符合认定条件，通过
202300044,校优秀学生干部,校级,学校,2024-01-07,通过,李文静,材料齐全，同意认定
202300045,优秀共青团干部,校级,学生工作处,2024-12-05,通过,李文静,符合认定条件，通过
202300045,优秀共青团员,校级,学校,2026-01-05,通过,李文静,符合认定条件，通过
202300046,校优秀学生干部,校级,校团委,2024-03-16,通过,李文静,佐证材料完整，予以通过
202300046,校园十佳志愿者,校级,学校,2025-07-17,通过,李文静,材料齐全，同意认定
202300047,优秀共青团干部,校级,校团委,2023-01-16,通过,李文静,符合认定条件，通过
202300047,校三好学生,校级,汽车工程学院,2023-03-14,通过,李文静,佐证材料完整，予以通过
202300048,优秀共青团员,校级,学校,2024-08-04,通过,李文静,符合认定条件，通过
202300048,军训优秀学员,院级,校团委,2024-09-06,通过,李文静,符合认定条件，通过
202300049,校二等奖学金,校级,学生工作处,2025-01-17,通过,李文静,符合认定条件，通过
202300049,优秀共青团干部,校级,学校,2023-04-18,通过,李文静,佐证材料完整，予以通过
202300050,国家奖学金,国家级,汽车工程学院,2025-11-07,通过,李文静,佐证材料完整，予以通过
202300050,校园十佳志愿者,校级,学校,2023-03-16,通过,李文静,符合认定条件，通过
202300051,校一等奖学金,校级,学生工作处,2026-01-08,待审核,,
202300051,校三好学生,校级,学生工作处,2023-03-08,通过,李文静,佐证材料完整，予以通过
202300052,校一等奖学金,校级,学校,2024-01-28,通过,李文静,符合认定条件，通过
202300052,校一等奖学金,校级,学校,2025-09-02,通过,李文静,材料齐全，同意认定
202300053,校园十佳志愿者,校级,学生工作处,2024-07-13,通过,李文静,材料齐全，同意认定
202300053,校一等奖学金,校级,校团委,2025-02-27,通过,李文静,符合认定条件，通过
202300054,校一等奖学金,校级,学生工作处,2024-12-09,通过,李文静,材料齐全，同意认定
202300054,校三等奖学金,校级,学校,2023-11-08,通过,李文静,材料齐全，同意认定
202300055,社会实践先进个人,校级,校团委,2024-09-26,通过,李文静,佐证材料完整，予以通过
202300055,国家励志奖学金,国家级,汽车工程学院,2024-06-06,通过,李文静,佐证材料完整，予以通过
202300056,校园十佳志愿者,校级,学校,2024-05-03,通过,李文静,材料齐全，同意认定
202300056,优秀共青团干部,校级,汽车工程学院,2025-09-03,通过,李文静,材料齐全，同意认定
202300057,校一等奖学金,校级,汽车工程学院,2024-09-24,通过,李文静,佐证材料完整，予以通过
202300057,校优秀学生干部,校级,校团委,2026-04-21,通过,李文静,材料齐全，同意认定
202300058,社会实践先进个人,校级,汽车工程学院,2025-05-23,通过,李文静,符合认定条件，通过
202300058,优秀共青团员,校级,汽车工程学院,2024-05-18,待院长审批,李文静,初审通过，转院长审批
202300059,优秀共青团干部,校级,学生工作处,2025-08-28,通过,李文静,佐证材料完整，予以通过
202300059,校优秀学生干部,校级,学生工作处,2024-02-20,通过,李文静,符合认定条件，通过
202300060,优秀共青团员,校级,汽车工程学院,2023-08-18,通过,李文静,佐证材料完整，予以通过
202300060,校一等奖学金,校级,学校,2024-04-08,通过,李文静,佐证材料完整，予以通过
202300061,校三好学生,校级,汽车工程学院,2025-05-10,待审核,,
202300061,优秀共青团干部,校级,学校,2024-07-27,通过,李文静,材料齐全，同意认定
202300062,优秀共青团干部,校级,汽车工程学院,2025-10-07,待审核,,
202300062,军训优秀学员,院级,汽车工程学院,2025-08-18,待院长审批,李文静,初审通过，转院长审批
202300063,优秀共青团员,校级,汽车工程学院,2026-03-10,通过,李文静,材料齐全，同意认定
202300063,军训优秀学员,院级,校团委,2023-07-13,通过,李文静,材料齐全，同意认定
202300064,国家奖学金,国家级,学校,2026-03-18,通过,李文静,佐证材料完整，予以通过
202300064,国家励志奖学金,国家级,校团委,2026-07-03,通过,李文静,佐证材料完整，予以通过
202300065,社会实践先进个人,校级,校团委,2025-03-24,通过,李文静,佐证材料完整，予以通过
202300065,校园十佳志愿者,校级,学生工作处,2025-08-19,通过,李文静,材料齐全，同意认定
202300066,优秀共青团员,校级,学生工作处,2025-02-27,通过,李文静,佐证材料完整，予以通过
202300066,国家奖学金,国家级,学校,2024-11-12,通过,李文静,材料齐全，同意认定
202300067,校园十佳志愿者,校级,学校,2024-01-07,通过,李文静,符合认定条件，通过
202300067,校三等奖学金,校级,学校,2024-02-07,待审核,,
202300068,校优秀学生干部,校级,学校,2023-09-22,通过,李文静,佐证材料完整，予以通过
202300068,优秀共青团干部,校级,汽车工程学院,2024-12-27,通过,李文静,佐证材料完整，予以通过
202300069,校二等奖学金,校级,校团委,2023-05-11,通过,李文静,佐证材料完整，予以通过
202300069,优秀共青团干部,校级,学生工作处,2024-07-22,通过,李文静,佐证材料完整，予以通过
202300070,国家励志奖学金,国家级,校团委,2023-12-17,待院长审批,李文静,初审通过，转院长审批
202300070,优秀共青团干部,校级,汽车工程学院,2023-09-14,待院长审批,李文静,初审通过，转院长审批
202300071,校优秀学生干部,校级,校团委,2023-04-23,待审核,,
202300071,国家奖学金,国家级,学生工作处,2024-07-22,待院长审批,李文静,初审通过，转院长审批
202300072,校三好学生,校级,校团委,2024-10-05,通过,李文静,符合认定条件，通过
202300072,校三等奖学金,校级,校团委,2023-04-27,通过,李文静,符合认定条件，通过
202300073,优秀共青团员,校级,汽车工程学院,2023-12-15,待审核,,
202300073,校园十佳志愿者,校级,校团委,2024-05-24,待审核,,
202300074,优秀共青团干部,校级,学校,2023-11-16,通过,李文静,材料齐全，同意认定
202300074,军训优秀学员,院级,汽车工程学院,2024-08-24,通过,李文静,符合认定条件，通过
202300075,优秀共青团干部,校级,学校,2023-07-03,通过,李文静,符合认定条件，通过
202300075,校二等奖学金,校级,学生工作处,2024-10-26,通过,李文静,材料齐全，同意认定
202300076,优秀共青团干部,校级,校团委,2025-12-12,待审核,,
202300076,校园十佳志愿者,校级,学校,2024-12-16,通过,李文静,佐证材料完整，予以通过
202300077,校园十佳志愿者,校级,学校,2023-04-23,待审核,,
202300077,军训优秀学员,院级,学生工作处,2025-05-22,待审核,,
202300078,军训优秀学员,院级,学生工作处,2023-02-01,通过,李文静,符合认定条件，通过
202300078,校园十佳志愿者,校级,学生工作处,2024-02-24,通过,李文静,佐证材料完整，予以通过
202300079,校二等奖学金,校级,学校,2023-10-23,通过,李文静,符合认定条件，通过
202300079,校二等奖学金,校级,校团委,2026-04-24,通过,李文静,符合认定条件，通过
202300080,国家奖学金,国家级,学生工作处,2026-05-06,通过,李文静,材料齐全，同意认定
202300080,校三好学生,校级,学校,2025-01-18,通过,李文静,材料齐全，同意认定
202300081,校二等奖学金,校级,校团委,2024-10-14,通过,李文静,佐证材料完整，予以通过
202300081,校三等奖学金,校级,学校,2023-08-16,通过,李文静,材料齐全，同意认定
202300082,校三等奖学金,校级,学生工作处,2023-06-13,通过,李文静,符合认定条件，通过
202300082,军训优秀学员,院级,校团委,2025-12-11,通过,李文静,材料齐全，同意认定
202300083,校三等奖学金,校级,汽车工程学院,2026-01-05,待审核,,
202300083,国家励志奖学金,国家级,校团委,2024-08-03,通过,李文静,材料齐全，同意认定
202300084,校优秀学生干部,校级,学生工作处,2025-04-07,待院长审批,李文静,初审通过，转院长审批
202300084,军训优秀学员,院级,学校,2023-12-06,待审核,,
202300085,国家奖学金,国家级,校团委,2024-05-04,待院长审批,李文静,初审通过，转院长审批
202300085,校一等奖学金,校级,汽车工程学院,2023-07-04,待审核,,
202300086,校三等奖学金,校级,学生工作处,2025-12-16,通过,李文静,符合认定条件，通过
202300086,优秀共青团干部,校级,汽车工程学院,2026-08-17,待院长审批,李文静,初审通过，转院长审批
202300087,优秀共青团干部,校级,汽车工程学院,2025-07-08,通过,李文静,材料齐全，同意认定
202300087,国家奖学金,国家级,学生工作处,2026-02-15,待审核,,
202300088,校二等奖学金,校级,校团委,2026-07-03,待院长审批,李文静,初审通过，转院长审批
202300088,社会实践先进个人,校级,学生工作处,2025-08-07,通过,李文静,材料齐全，同意认定
202300089,校优秀学生干部,校级,校团委,2023-01-02,通过,李文静,材料齐全，同意认定
202300089,校园十佳志愿者,校级,学校,2025-01-20,通过,李文静,材料齐全，同意认定
202300090,社会实践先进个人,校级,校团委,2023-10-08,通过,李文静,材料齐全，同意认定
202300090,社会实践先进个人,校级,校团委,2024-03-13,通过,李文静,材料齐全，同意认定
202300091,校三好学生,校级,学校,2026-05-21,通过,李文静,佐证材料完整，予以通过
202300091,国家励志奖学金,国家级,学生工作处,2026-04-12,通过,李文静,佐证材料完整，予以通过
202300092,国家奖学金,国家级,校团委,2026-05-17,公示中,李文静,佐证材料完整，予以通过
202300092,校一等奖学金,校级,学校,2024-09-17,通过,李文静,佐证材料完整，予以通过
202300093,校优秀学生干部,校级,汽车工程学院,2024-05-20,通过,李文静,材料齐全，同意认定
202300093,校二等奖学金,校级,汽车工程学院,2025-06-10,通过,李文静,材料齐全，同意认定
202300094,校三好学生,校级,校团委,2023-11-20,待审核,,
202300094,国家奖学金,国家级,汽车工程学院,2025-11-03,待审核,,
202300095,社会实践先进个人,校级,学生工作处,2024-08-16,通过,李文静,符合认定条件，通过
202300095,国家奖学金,国家级,校团委,2023-03-21,通过,李文静,佐证材料完整，予以通过
202300096,校二等奖学金,校级,学生工作处,2025-11-12,通过,李文静,符合认定条件，通过
202300096,校园十佳志愿者,校级,学校,2026-03-11,待院长审批,李文静,初审通过，转院长审批
202300097,校一等奖学金,校级,校团委,2023-03-22,通过,李文静,符合认定条件，通过
202300097,校三等奖学金,校级,汽车工程学院,2023-10-23,通过,李文静,材料齐全，同意认定
202300098,优秀共青团干部,校级,校团委,2026-04-28,通过,李文静,符合认定条件，通过
202300098,社会实践先进个人,校级,汽车工程学院,2025-11-27,通过,李文静,符合认定条件，通过
202300099,社会实践先进个人,校级,学校,2023-08-08,通过,李文静,佐证材料完整，予以通过
202300099,优秀共青团干部,校级,学生工作处,2023-02-23,通过,李文静,佐证材料完整，予以通过
202300100,军训优秀学员,院级,学校,2024-12-12,通过,李文静,佐证材料完整，予以通过
202300100,校三等奖学金,校级,学校,2023-07-23,通过,李文静,材料齐全，同意认定
202300101,校优秀学生干部,校级,学校,2023-06-25,通过,李文静,符合认定条件，通过
202300101,校三好学生,校级,学生工作处,2024-02-10,通过,李文静,符合认定条件，通过
202300102,校园十佳志愿者,校级,校团委,2026-07-01,待院长审批,李文静,初审通过，转院长审批
202300102,军训优秀学员,院级,校团委,2024-08-24,通过,李文静,符合认定条件，通过
202300103,社会实践先进个人,校级,学校,2024-04-11,通过,李文静,材料齐全，同意认定
202300103,校优秀学生干部,校级,学生工作处,2025-03-13,通过,李文静,符合认定条件，通过
202300104,校三好学生,校级,汽车工程学院,2026-01-17,通过,李文静,材料齐全，同意认定
202300104,国家励志奖学金,国家级,汽车工程学院,2023-03-15,通过,李文静,符合认定条件，通过
202300105,校优秀学生干部,校级,校团委,2026-03-02,待审核,,
202300105,国家励志奖学金,国家级,学校,2025-02-10,通过,李文静,材料齐全，同意认定
202300106,校优秀学生干部,校级,学校,2025-10-27,通过,李文静,符合认定条件，通过
202300106,优秀共青团干部,校级,校团委,2025-11-19,待审核,,
202300107,国家奖学金,国家级,汽车工程学院,2023-12-11,通过,李文静,符合认定条件，通过
202300107,校优秀学生干部,校级,校团委,2025-05-01,通过,李文静,佐证材料完整，予以通过
202300108,社会实践先进个人,校级,学校,2025-07-04,通过,李文静,材料齐全，同意认定
202300108,国家励志奖学金,国家级,汽车工程学院,2023-05-27,通过,李文静,材料齐全，同意认定
202300109,优秀共青团员,校级,汽车工程学院,2026-05-13,通过,李文静,材料齐全，同意认定
202300109,国家奖学金,国家级,校团委,2026-08-08,通过,李文静,材料齐全，同意认定
202300110,校一等奖学金,校级,学生工作处,2025-09-16,公示中,李文静,符合认定条件，通过
202300110,校三等奖学金,校级,校团委,2025-05-11,待审核,,
202300111,校一等奖学金,校级,汽车工程学院,2024-03-10,通过,李文静,佐证材料完整，予以通过
202300111,校一等奖学金,校级,学校,2024-12-16,待院长审批,李文静,初审通过，转院长审批
202300112,优秀共青团干部,校级,学生工作处,2023-03-21,通过,李文静,材料齐全，同意认定
202300112,优秀共青团干部,校级,学生工作处,2024-05-27,通过,李文静,材料齐全，同意认定
202300113,国家励志奖学金,国家级,汽车工程学院,2026-03-18,通过,李文静,符合认定条件，通过
202300113,优秀共青团员,校级,学校,2024-04-01,通过,李文静,佐证材料完整，予以通过
202300114,校三等奖学金,校级,学校,2023-01-21,通过,李文静,佐证材料完整，予以通过
202300114,国家励志奖学金,国家级,汽车工程学院,2024-06-02,通过,李文静,符合认定条件，通过
202300115,校三等奖学金,校级,学生工作处,2023-09-07,待院长审批,李文静,初审通过，转院长审批
202300115,校三好学生,校级,学校,2025-10-19,通过,李文静,符合认定条件，通过
202300116,军训优秀学员,院级,汽车工程学院,2025-07-18,待院长审批,李文静,初审通过，转院长审批
202300116,优秀共青团干部,校级,校团委,2023-02-27,待审核,,
202300117,校优秀学生干部,校级,学生工作处,2024-12-04,通过,李文静,材料齐全，同意认定
202300117,国家励志奖学金,国家级,学校,2023-11-13,通过,李文静,符合认定条件，通过
202300118,优秀共青团员,校级,学校,2026-07-13,通过,李文静,佐证材料完整，予以通过
202300118,优秀共青团员,校级,汽车工程学院,2023-04-22,通过,李文静,佐证材料完整，予以通过
202300119,校三好学生,校级,校团委,2025-01-23,通过,李文静,材料齐全，同意认定
202300119,校优秀学生干部,校级,校团委,2023-02-13,通过,李文静,符合认定条件，通过
202300120,校三好学生,校级,学生工作处,2024-02-15,待审核,,
202300120,校三等奖学金,校级,学校,2026-04-11,待院长审批,李文静,初审通过，转院长审批
202300121,军训优秀学员,院级,汽车工程学院,2024-08-13,通过,李文静,佐证材料完整，予以通过
202300121,校二等奖学金,校级,校团委,2024-10-18,通过,李文静,符合认定条件，通过
202300122,优秀共青团干部,校级,学生工作处,2025-10-17,通过,李文静,符合认定条件，通过
202300122,校三等奖学金,校级,学校,2023-04-05,待审核,,
202300123,军训优秀学员,院级,汽车工程学院,2025-03-04,通过,李文静,材料齐全，同意认定
202300123,校三等奖学金,校级,学校,2024-03-06,通过,李文静,佐证材料完整，予以通过
202300124,校园十佳志愿者,校级,校团委,2025-03-26,待审核,,
202300124,校三等奖学金,校级,校团委,2023-06-02,通过,李文静,佐证材料完整，予以通过
202300125,校园十佳志愿者,校级,校团委,2024-07-24,通过,李文静,符合认定条件，通过
202300125,校一等奖学金,校级,汽车工程学院,2026-01-02,待审核,,
202300126,校优秀学生干部,校级,学校,2024-06-09,通过,李文静,符合认定条件，通过
202300126,校三等奖学金,校级,学生工作处,2025-06-12,通过,李文静,佐证材料完整，予以通过
202300127,优秀共青团员,校级,学校,2025-03-11,待审核,,
202300127,国家励志奖学金,国家级,校团委,2026-04-21,通过,李文静,佐证材料完整，予以通过
202300128,社会实践先进个人,校级,学生工作处,2025-01-17,通过,李文静,符合认定条件，通过
202300128,校二等奖学金,校级,汽车工程学院,2023-05-27,通过,李文静,材料齐全，同意认定
202300129,校三等奖学金,校级,校团委,2025-02-13,通过,李文静,符合认定条件，通过
202300129,校优秀学生干部,校级,学校,2026-08-04,通过,李文静,佐证材料完整，予以通过
202300130,军训优秀学员,院级,校团委,2023-02-08,通过,李文静,佐证材料完整，予以通过
202300130,校园十佳志愿者,校级,校团委,2024-04-27,通过,李文静,材料齐全，同意认定
202300131,校园十佳志愿者,校级,校团委,2023-02-27,待审核,,
202300131,优秀共青团员,校级,汽车工程学院,2023-02-02,待审核,,
202300132,国家奖学金,国家级,学校,2025-04-22,通过,李文静,佐证材料完整，予以通过
202300132,优秀共青团员,校级,学校,2026-08-20,待审核,,
202300133,校园十佳志愿者,校级,汽车工程学院,2026-08-11,通过,李文静,材料齐全，同意认定
202300133,校三好学生,校级,学生工作处,2025-12-23,通过,李文静,佐证材料完整，予以通过
202300134,校二等奖学金,校级,汽车工程学院,2023-08-02,通过,李文静,佐证材料完整，予以通过
202300134,国家励志奖学金,国家级,学生工作处,2026-02-28,通过,李文静,材料齐全，同意认定
202300135,校园十佳志愿者,校级,汽车工程学院,2024-03-26,待审核,,
202300135,校三好学生,校级,学生工作处,2025-02-04,通过,李文静,佐证材料完整，予以通过
202300136,国家奖学金,国家级,校团委,2025-09-17,待审核,,
202300136,国家奖学金,国家级,学校,2026-01-02,通过,李文静,佐证材料完整，予以通过
202300137,国家奖学金,国家级,汽车工程学院,2026-06-08,通过,王海燕,材料齐全，同意认定
202300137,校三等奖学金,校级,校团委,2023-06-11,待院长审批,王海燕,初审通过，转院长审批
202300138,社会实践先进个人,校级,校团委,2023-09-13,通过,王海燕,佐证材料完整，予以通过
202300138,军训优秀学员,院级,学生工作处,2023-07-19,通过,王海燕,材料齐全，同意认定
202300139,优秀共青团干部,校级,学生工作处,2026-03-17,通过,王海燕,材料齐全，同意认定
202300139,校三等奖学金,校级,汽车工程学院,2026-08-20,通过,王海燕,佐证材料完整，予以通过
202300140,校二等奖学金,校级,学校,2024-01-22,通过,王海燕,材料齐全，同意认定
202300140,校一等奖学金,校级,校团委,2024-02-19,通过,王海燕,材料齐全，同意认定
202300141,社会实践先进个人,校级,学生工作处,2026-07-21,通过,王海燕,佐证材料完整，予以通过
202300141,国家奖学金,国家级,学生工作处,2025-08-07,通过,王海燕,材料齐全，同意认定
202300142,优秀共青团员,校级,学生工作处,2025-12-19,通过,王海燕,材料齐全，同意认定
202300142,社会实践先进个人,校级,学校,2023-05-24,通过,王海燕,佐证材料完整，予以通过
202300143,社会实践先进个人,校级,学校,2023-06-04,通过,王海燕,佐证材料完整，予以通过
202300143,校三等奖学金,校级,学校,2025-02-25,通过,王海燕,符合认定条件，通过
202300144,校一等奖学金,校级,汽车工程学院,2025-09-28,通过,王海燕,符合认定条件，通过
202300144,校优秀学生干部,校级,学校,2025-09-18,通过,王海燕,佐证材料完整，予以通过
202300145,国家奖学金,国家级,学校,2024-10-22,通过,王海燕,材料齐全，同意认定
202300145,优秀共青团干部,校级,学生工作处,2026-08-06,通过,王海燕,符合认定条件，通过
202300146,国家励志奖学金,国家级,校团委,2024-01-20,通过,王海燕,符合认定条件，通过
202300146,校园十佳志愿者,校级,校团委,2025-11-18,待审核,,
202300147,校二等奖学金,校级,校团委,2025-04-28,通过,王海燕,佐证材料完整，予以通过
202300147,军训优秀学员,院级,学校,2025-09-12,通过,王海燕,材料齐全，同意认定
202300148,优秀共青团员,校级,学校,2024-07-05,待院长审批,王海燕,初审通过，转院长审批
202300148,国家励志奖学金,国家级,校团委,2024-05-26,待审核,,
202300149,国家励志奖学金,国家级,学校,2025-06-03,通过,王海燕,材料齐全，同意认定
202300149,校二等奖学金,校级,校团委,2023-07-11,通过,王海燕,符合认定条件，通过
202300150,国家励志奖学金,国家级,校团委,2025-01-01,通过,王海燕,佐证材料完整，予以通过
202300150,校三好学生,校级,校团委,2025-01-03,待审核,,
202300151,社会实践先进个人,校级,校团委,2025-09-18,通过,王海燕,材料齐全，同意认定
202300151,国家励志奖学金,国家级,学校,2024-12-15,通过,王海燕,佐证材料完整，予以通过
202300152,校园十佳志愿者,校级,汽车工程学院,2023-05-18,通过,王海燕,符合认定条件，通过
202300152,优秀共青团干部,校级,学生工作处,2023-11-19,通过,王海燕,佐证材料完整，予以通过
202300153,社会实践先进个人,校级,校团委,2026-01-26,通过,王海燕,材料齐全，同意认定
202300153,校二等奖学金,校级,学生工作处,2025-11-07,待审核,,
202300154,校优秀学生干部,校级,汽车工程学院,2025-05-03,通过,王海燕,材料齐全，同意认定
202300154,校一等奖学金,校级,学生工作处,2026-06-20,通过,王海燕,符合认定条件，通过
202300155,校二等奖学金,校级,校团委,2024-05-06,通过,王海燕,佐证材料完整，予以通过
202300155,国家奖学金,国家级,汽车工程学院,2023-09-27,通过,王海燕,材料齐全，同意认定
202300156,校一等奖学金,校级,校团委,2023-03-16,通过,王海燕,佐证材料完整，予以通过
202300156,国家奖学金,国家级,汽车工程学院,2025-05-12,待院长审批,王海燕,初审通过，转院长审批
202300157,军训优秀学员,院级,学生工作处,2026-03-14,通过,王海燕,符合认定条件，通过
